Var,Model,Scenario,Ensemble,1981-2010,2011-2040,2041-2070,2071-2100,Note
tas,ACCESS1.0,RCP4.5,r1i1p1,8.071953116522916,1.6658646901448577,2.637566333346898,3.6624050140380877,"Baseline partially forced by RCP4.5, RCP8.5"
tas,ACCESS1.0,RCP8.5,r1i1p1,8.071953116522916,1.2972482045491542,3.663647757636177,6.2308758629692935,"Baseline partially forced by RCP4.5, RCP8.5"
tas,ACCESS1.3,RCP4.5,r1i1p1,9.20845141940649,1.1124323527018234,2.2914730495876725,3.07036658393012,"Baseline partially forced by RCP4.5, RCP8.5"
tas,ACCESS1.3,RCP8.5,r1i1p1,9.20845141940649,1.2237118191189236,3.2819702996148,5.232432471381292,"Baseline partially forced by RCP4.5, RCP8.5"
tas,bcc-csm1.1,RCP2.6,r1i1p1,6.213952721489823,1.2751971774631077,1.5103717380099821,1.1998710632324219,NA
tas,bcc-csm1.1,RCP4.5,r1i1p1,6.213952721489823,1.1021406385633679,2.20902608235677,2.4601615058051216,NA
tas,bcc-csm1.1,RCP6.0,r1i1p1,6.213952721489823,0.8638671027289497,2.271686384412977,3.1533991495768223,NA
tas,bcc-csm1.1,RCP8.5,r1i1p1,6.213952721489823,1.4368707444932722,2.99970948961046,4.938876512315538,NA
tas,bcc-csm1.1-m,RCP2.6,r1i1p1,8.10740644666886,1.1464703877766933,1.5630400763617622,1.625142923990886,NA
tas,bcc-csm1.1-m,RCP4.5,r1i1p1,8.10740644666886,1.2437973870171444,1.8371479458279083,2.3056968688964847,NA
tas,bcc-csm1.1-m,RCP6.0,r1i1p1,8.10740644666886,1.3461709764268672,2.027059427897136,2.849293518066407,NA
tas,bcc-csm1.1-m,RCP8.5,r1i1p1,8.10740644666886,1.5456340365939667,2.913457149929471,4.385762023925782,NA
tas,BNU-ESM,RCP2.6,r1i1p1,5.489047057540351,1.4558807514331953,1.9628542723479088,2.1194766715720847,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,BNU-ESM,RCP4.5,r1i1p1,5.489047057540351,1.8934173725269456,2.8789049925627532,3.870600057531285,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,BNU-ESM,RCP8.5,r1i1p1,5.489047057540351,1.2551670215747972,3.7731731132224757,6.674339732417354,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CanESM2,RCP2.6,r1i1p1,11.890110722294583,1.6233361703378186,2.3088687190303094,2.1532965483488855,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CanESM2,RCP4.5,r1i1p1,11.890110722294583,1.5258449695728444,2.791864324499059,3.4202912789803968,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CanESM2,RCP8.5,r1i1p1,11.890110722294583,1.7629139087818277,3.4075613798918543,5.854343470820673,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CCSM4,RCP2.6,r1i1p1,8.279269048902746,1.4410742229885525,1.487378205193414,1.4374222013685447,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CCSM4,RCP4.5,r1i1p1,8.279269048902746,1.0809839248657234,2.4504198074340824,2.5875667360093857,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CCSM4,RCP6.0,r1i1p1,8.279269048902746,1.0569886313544377,1.5417053434583874,2.7408102459377712,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CCSM4,RCP8.5,r1i1p1,8.279269048902746,1.4497808880276146,2.9733402040269645,4.721862051222059,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CESM1-BGC,RCP4.5,r1i1p1,8.355905596415223,0.9330305947197832,2.2878199895222995,2.6507474899292003,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CESM1-BGC,RCP8.5,r1i1p1,8.355905596415223,1.140527407328289,3.001222038269045,4.66188242170546,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CESM1-CAM5,RCP2.6,r1i1p1,6.9048941294352435,1.406991704305014,2.1367710961235904,2.1657746632893886,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CESM1-CAM5,RCP4.5,r1i1p1,6.9048941294352435,1.6249085744222018,2.8129227108425567,3.885740534464519,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CESM1-CAM5,RCP6.0,r1i1p1,6.9048941294352435,0.992135238647462,2.038284598456489,4.043301603529189,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CESM1-CAM5,RCP8.5,r1i1p1,6.9048941294352435,1.6455031077067055,3.600326750013563,5.524168014526367,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CMCC-CESM,RCP8.5,r1i1p1,5.075008053249806,0.9784706963433161,2.865501319037543,4.818461015489366,Baseline partially forced by RCP8.5
tas,CMCC-CM,RCP4.5,r1i1p1,6.418353356255448,1.0613616095648872,2.306303405761719,3.0377749125162765,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CMCC-CM,RCP8.5,r1i1p1,6.418353356255448,1.136658732096354,2.9886091444227425,5.095669555664063,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CMCC-CMS,RCP4.5,r1i1p1,6.091804292466929,1.4299303266737189,2.4878289540608716,3.142788145277235,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CMCC-CMS,RCP8.5,r1i1p1,6.091804292466929,1.1667818281385625,3.2612818823920353,5.551048151652019,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CNRM-CM5,RCP2.6,r1i1p1,6.330818487096739,1.273935049551504,1.92318686026114,1.7847236068160441,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CNRM-CM5,RCP4.5,r1i1p1,6.330818487096739,0.8341772573965569,1.9062379907678668,NA,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CNRM-CM5,RCP8.5,r1i1p1,6.330818487096739,1.0960852163809314,2.978351027877242,NA,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CSIRO-Mk3.6.0,RCP2.6,r1i1p1,6.855913458930145,1.3269557529025597,1.974790022108289,2.139324951171874,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CSIRO-Mk3.6.0,RCP4.5,r1i1p1,6.855913458930145,1.1805480109320747,2.3884907192654072,3.03596954345703,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CSIRO-Mk3.6.0,RCP6.0,r1i1p1,6.855913458930145,0.9550900777180988,1.7002015855577248,3.356451585557725,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CSIRO-Mk3.6.0,RCP8.5,r1i1p1,6.855913458930145,0.9675855000813796,3.1158959282769096,5.37109892103407,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,EC-EARTH,RCP4.5,r1i1p1,7.481761257890365,1.1170133765768897,1.6449167850512803,2.0023368798592243,"Baseline partially forced by RCP4.5, RCP8.5"
tas,EC-EARTH,RCP8.5,r1i1p1,7.481761257890365,0.8650046417678618,1.9701742347311866,3.729132415476628,"Baseline partially forced by RCP4.5, RCP8.5"
tas,FGOALS-g2,RCP2.6,r1i1p1,3.0753996107313597,0.5948786417643226,1.349375661214193,1.4332271152072478,NA
tas,FGOALS-g2,RCP4.5,r1i1p1,3.0753996107313597,1.4839959886338976,1.980587853325738,2.32890379163954,NA
tas,FGOALS-g2,RCP8.5,r1i1p1,3.0753996107313597,1.1891587999131943,3.2238714430067272,5.522739410400391,NA
tas,FGOALS-s2,RCP8.5,r1i1p1,9.915983581542992,1.7090144687228719,4.054942067464191,5.9858573913574205,Baseline partially forced by RCP8.5
tas,FIO-ESM,RCP2.6,r1i1p1,7.834342871771941,0.44457533094618107,0.505473073323568,0.2304787529839416,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,FIO-ESM,RCP4.5,r1i1p1,7.834342871771941,0.7987642076280377,1.271197594536675,1.2332087198893227,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,FIO-ESM,RCP6.0,r1i1p1,7.834342871771941,0.8532906426323787,1.2222486707899307,1.8905522664388013,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,FIO-ESM,RCP8.5,r1i1p1,7.834342871771941,0.9549423217773434,2.209200965033636,4.048677402072482,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-CM3,RCP2.6,r1i1p1,7.201467704772972,1.6568674087524418,2.734055688646105,3.112746365865073,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-CM3,RCP4.5,r1i1p1,7.201467704772972,1.577135827806261,3.423576800028483,4.079082764519585,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-CM3,RCP6.0,r1i1p1,7.201467704772972,1.9498143725925026,2.8667030546400287,4.627051141526964,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-CM3,RCP8.5,r1i1p1,7.201467704772972,2.0011898676554374,4.186302460564507,6.720938131544326,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2G,RCP2.6,r1i1p1,6.210025978088401,0.5546679814656583,0.8216193940904413,0.7170510821872291,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2G,RCP4.5,r1i1p1,6.210025978088401,0.8588329527113174,1.4596133550008146,1.4454195446438263,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2G,RCP6.0,r1i1p1,6.210025978088401,0.7185197406344948,1.5633316675821947,2.3864597532484275,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2G,RCP8.5,r1i1p1,6.210025978088401,0.9323216544257278,2.2620468775431313,3.938460858662923,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2M,RCP2.6,r1i1p1,7.15588671366376,0.7733178456624348,0.8262928009033201,0.6634138743082678,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2M,RCP4.5,r1i1p1,7.15588671366376,0.6095868004692928,1.2496029747856987,1.3983923594156895,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2M,RCP6.0,r1i1p1,7.15588671366376,0.47329750061035103,1.2135369618733716,2.048782391018337,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2M,RCP8.5,r1i1p1,7.15588671366376,0.6638638390435112,2.034679539998372,3.419134987725151,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-H,RCP2.6,r1i1p1,7.953449185689313,0.9288176430596247,1.3231160269843203,0.897407510545519,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-H,RCP4.5,r1i1p1,7.953449185689313,1.3597782346937395,2.2693973753187384,2.702637630038791,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-H,RCP6.0,r1i1p1,7.953449185689313,1.0111513561672636,1.7249364852905282,2.588630909389919,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-H,RCP8.5,r1i1p1,7.953449185689313,1.4278686311509885,2.81428754594591,4.254257435268825,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-H-CC,RCP4.5,r1i1p1,7.841925896538651,1.4036179436577694,2.3454489813910584,2.6092905680338543,NA
tas,GISS-E2-H-CC,RCP8.5,r1i1p1,7.841925896538651,1.1271023220486107,2.7727121988932293,4.242024400499131,NA
tas,GISS-E2-R,RCP2.6,r1i1p1,7.796822929382347,0.7710438410441087,0.8033698399861651,0.4413319269816087,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-R,RCP4.5,r1i1p1,7.796822929382347,0.9628238466050894,1.8836248821682409,2.0264931784735785,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-R,RCP6.0,r1i1p1,7.796822929382347,0.8408461888631189,1.1783842510647249,2.4611927668253584,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-R,RCP8.5,r1i1p1,7.796822929382347,1.1658064312405054,2.4459719551934134,3.772636434766981,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GISS-E2-R-CC,RCP4.5,r1i1p1,7.869524553087046,0.9421507941351992,1.789535437689886,1.8455359564887148,NA
tas,GISS-E2-R-CC,RCP8.5,r1i1p1,7.869524553087046,0.9790551079644088,2.369440121120877,3.6888649834526896,NA
tas,HadGEM2-AO,RCP2.6,r1i1p1,7.557408629523406,0.9297029919094513,1.7876402325100358,1.9704327689276795,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,HadGEM2-AO,RCP4.5,r1i1p1,7.557408629523406,2.205929247538249,3.4294520272148983,4.1689432991875535,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,HadGEM2-AO,RCP6.0,r1i1p1,7.557408629523406,0.729077551099989,2.107270410325791,3.7790547053019203,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,HadGEM2-AO,RCP8.5,r1i1p1,7.557408629523406,1.438819736904568,3.801289982265896,6.435044288635254,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,HadGEM2-CC,RCP4.5,r1i1p1,5.1294892205132605,1.9693238152398003,3.4113158331976994,4.734302859836154,"Baseline partially forced by RCP4.5, RCP8.5"
tas,HadGEM2-CC,RCP8.5,r1i1p1,5.1294892205132605,2.305526140001085,4.542427147759332,7.834589725070529,"Baseline partially forced by RCP4.5, RCP8.5"
tas,HadGEM2-ES,RCP2.6,r1i1p1,6.693394300672766,1.8662007649739571,2.785214063856337,1.2241137032557008,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,HadGEM2-ES,RCP4.5,r1i1p1,6.693394300672766,1.8425813462999123,3.67770267062717,3.0840294269600292,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,HadGEM2-ES,RCP8.5,r1i1p1,6.693394300672766,1.9188930935329864,4.256691148546006,6.180715703482578,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,inmcm4,RCP4.5,r1i1p1,7.104644733005123,0.48123707241482183,1.0640448252360022,1.747290505303277,"Baseline partially forced by RCP4.5, RCP8.5"
tas,inmcm4,RCP8.5,r1i1p1,7.104644733005123,0.8433479732937279,1.938337241278755,3.452323786417643,"Baseline partially forced by RCP4.5, RCP8.5"
tas,IPSL-CM5A-LR,RCP2.6,r1i1p1,7.294525358412024,1.0413614484998917,1.563217629326715,1.327360492282443,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,IPSL-CM5A-LR,RCP4.5,r1i1p1,7.294525358412024,1.3316406673855248,2.1479043324788414,2.9129192352294915,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,IPSL-CM5A-LR,RCP6.0,r1i1p1,7.294525358412024,0.6408343421088318,1.8656128353542751,2.834119203355577,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,IPSL-CM5A-LR,RCP8.5,r1i1p1,7.294525358412024,1.1981546613905163,3.139698918660482,5.264751307169597,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,IPSL-CM5A-MR,RCP2.6,r1i1p1,9.28725092146134,1.0941781997680664,1.7623303095499683,1.4854790793524852,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,IPSL-CM5A-MR,RCP4.5,r1i1p1,9.28725092146134,1.2583241992526588,2.18196218278673,2.566745185852051,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,IPSL-CM5A-MR,RCP6.0,r1i1p1,9.28725092146134,1.098003917270237,1.9185112211439357,3.107537523905437,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,IPSL-CM5A-MR,RCP8.5,r1i1p1,9.28725092146134,1.292588657803007,3.018829705980089,5.103094079759387,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,IPSL-CM5B-LR,RCP4.5,r1i1p1,6.203057267930795,0.9009602864583339,2.314234585232205,2.565371110704211,"Baseline partially forced by RCP4.5, RCP8.5"
tas,IPSL-CM5B-LR,RCP8.5,r1i1p1,6.203057267930795,1.411594560411241,2.955939568413628,4.970883178710938,"Baseline partially forced by RCP4.5, RCP8.5"
tas,MIROC-ESM,RCP2.6,r1i1p1,9.739776696099199,1.4913137647840706,3.056888749864365,2.975765397813584,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MIROC-ESM,RCP4.5,r1i1p1,9.739776696099199,1.6093563503689232,3.155009460449218,4.136496056450737,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MIROC-ESM,RCP6.0,r1i1p1,9.739776696099199,1.3446590847439222,3.1259645250108505,4.889839511447482,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MIROC-ESM,RCP8.5,r1i1p1,9.739776696099199,1.9794059753417965,4.391212887234158,6.902766672770181,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MIROC-ESM-CHEM,RCP2.6,r1i1p1,9.365228144327823,2.233052444458007,3.0999115414089626,3.096118545532226,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MIROC-ESM-CHEM,RCP4.5,r1i1p1,9.365228144327823,2.0544947730170353,3.745003975762261,4.351042556762694,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MIROC-ESM-CHEM,RCP6.0,r1i1p1,9.365228144327823,1.4409139421251087,3.3472160763210717,5.22366091410319,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MIROC-ESM-CHEM,RCP8.5,r1i1p1,9.365228144327823,2.200510025024414,4.730781428019204,7.423350652058918,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MIROC5,RCP2.6,r1i1p1,9.920063866509354,1.3544265747070323,2.3350729200575095,2.0613742404513893,NA
tas,MIROC5,RCP4.5,r1i1p1,9.920063866509354,1.2753240797254772,2.776720258924696,3.2244447496202255,NA
tas,MIROC5,RCP6.0,r1i1p1,9.920063866509354,1.1069699605306003,2.1686040242513034,3.8142048305935337,NA
tas,MIROC5,RCP8.5,r1i1p1,9.920063866509354,1.4257765875922317,3.9913777669270836,6.041429731580946,NA
tas,MPI-ESM-LR,RCP2.6,r1i1p1,6.892437970196782,0.7466252079716442,1.101836508291739,0.7608036747685185,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,MPI-ESM-LR,RCP4.5,r1i1p1,6.892437970196782,0.7190927576135708,1.3955224213776765,2.1194412514015477,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,MPI-ESM-LR,RCP8.5,r1i1p1,6.892437970196782,1.4953471148455586,2.7714965255172173,4.801444357412833,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,MPI-ESM-MR,RCP2.6,r1i1p1,7.09965111061381,0.7692313865379052,0.8934397944697627,0.8910813790780523,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,MPI-ESM-MR,RCP4.5,r1i1p1,7.09965111061381,0.8396076343677663,1.6386604874222366,2.2695374948007094,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,MPI-ESM-MR,RCP8.5,r1i1p1,7.09965111061381,1.143030350296585,2.6929946616843887,4.655715829354745,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,MRI-CGCM3,RCP2.6,r1i1p1,6.776478703816754,0.6885156843397358,1.1107426537407772,1.4916459401448572,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MRI-CGCM3,RCP4.5,r1i1p1,6.776478703816754,0.44403283860948406,1.5991117265489363,2.006234698825412,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MRI-CGCM3,RCP6.0,r1i1p1,6.776478703816754,0.5708648257785374,1.358241738213434,2.464655515882705,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MRI-CGCM3,RCP8.5,r1i1p1,6.776478703816754,0.6171831342909071,2.231725014580621,3.742131847805447,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,MRI-ESM1,RCP8.5,r1i1p1,7.003523169623503,0.9487821790907125,2.1257528516981337,3.9195315043131513,Baseline partially forced by RCP8.5
tas,NorESM1-M,RCP2.6,r1i1p1,5.968661986457,1.1317790349324541,1.9529636171129017,1.9876105626424154,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,NorESM1-M,RCP4.5,r1i1p1,5.968661986457,1.4653316285875109,2.638513120015463,3.321953095330133,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,NorESM1-M,RCP6.0,r1i1p1,5.968661986457,1.1670103073120117,1.8788849936591259,3.733463732401529,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,NorESM1-M,RCP8.5,r1i1p1,5.968661986457,1.7166130277845593,3.3338428285386827,5.750251113043892,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,NorESM1-ME,RCP2.6,r1i1p1,5.978620762295216,0.9192917505900065,1.9395616955227322,2.120350880093045,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,NorESM1-ME,RCP4.5,r1i1p1,5.978620762295216,1.2890538321601026,2.594059816996256,3.444323031107584,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,NorESM1-ME,RCP6.0,r1i1p1,5.978620762295216,1.3786310619778108,2.174584346347385,4.266938760545519,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,NorESM1-ME,RCP8.5,r1i1p1,5.978620762295216,1.6808867348565002,3.8608746634589304,5.661880895826552,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
